Season,Country,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,Region,H3_FINAL,H1_FINAL,H1pdm_FINAL,H3_PROP,H1_PROP,H1pdm_PROP,B_PROP,IS_H1_DOM,IS_H3_DOM,IS_H1pdm_DOM,IS_B_DOM,Y_SINCE_LAST_H3,Y_SINCE_LAST_H1,Y_SINCE_LAST_H1pdm,Y_SINCE_LAST_B
2010,Albania,0,693,0,101,17,0,118,0,0,25,25,143,South West Europe,17,0,101,0.118881118881119,0,0.706293706293706,0.174825174825175,0,0,1,0,NA,NA,1,NA
2011,Albania,0,332,0,0,98,0,98,0,0,24,24,122,South West Europe,98,0,0,0.80327868852459,0,0,0.19672131147541,0,1,0,0,>1,NA,1,>1
2012,Albania,0,405,0,13,8,0,21,0,0,76,76,97,South West Europe,8,0,13,0.0824742268041237,0,0.134020618556701,0.783505154639175,0,0,0,1,1,NA,2,>2
2013,Albania,0,845,0,77,68,11,156,0,0,0,0,156,South West Europe,73.1586206896552,0,82.8413793103448,0.468965517241379,0,0.531034482758621,0,0,1,1,0,2,NA,3,1
2014,Albania,0,298,0,30,18,0,48,0,10,10,20,68,South West Europe,18,0,30,0.264705882352941,0,0.441176470588235,0.294117647058824,0,1,1,1,1,NA,1,2
2015,Albania,0,674,0,109,4,0,113,0,85,16,101,214,South West Europe,4,0,109,0.0186915887850467,0,0.509345794392523,0.47196261682243,0,0,1,1,1,NA,1,1
2016,Albania,0,669,0,0,233,0,233,0,0,1,1,234,South West Europe,233,0,0,0.995726495726496,0,0,0.00427350427350427,0,1,0,0,2,NA,1,1
2017,Albania,0,1083,0,148,3,4,155,186,0,11,197,352,South West Europe,3.0794701986755,0,151.920529801325,0.00874849488260084,0,0.431592414208308,0.559659090909091,0,0,1,1,1,NA,2,2
2018,Albania,0,1199,0,367,76,83,526,0,0,1,1,527,South West Europe,90.2392776523702,0,435.76072234763,0.171232025905826,0,0.826870440887343,0.00189753320683112,0,0,1,0,2,NA,1,1
2019,Albania,0,1294,21,33,49,143,246,0,180,19,199,445,South West Europe,117.029126213592,50.1553398058252,78.8155339805825,0.262986800479983,0.112708628777135,0.177113559506927,0.447191011235955,0,1,0,1,3,NA,1,2
2002,Argentina,0,993,16,0,7,104,127,0,0,263,263,390,Temperate South America,38.6521739130435,88.3478260869565,0,0.099108138238573,0.226532887402453,0,0.674358974358974,1,0,0,1,NA,NA,NA,NA
2003,Argentina,0,19136,264,0,250,795,1309,0,0,20,20,1329,Temperate South America,636.673151750973,672.326848249027,0,0.47906181471104,0.505889276334859,0,0.0150489089541008,1,1,0,0,>1,1,NA,1
2004,Argentina,0,14038,0,0,352,369,721,0,0,107,107,828,Temperate South America,721,0,0,0.870772946859903,0,0,0.129227053140097,0,1,0,0,1,1,NA,2
2005,Argentina,0,22162,0,0,436,313,749,0,0,95,95,844,Temperate South America,749,0,0,0.887440758293839,0,0,0.112559241706161,0,1,0,0,1,2,NA,3
2006,Argentina,0,17819,256,0,25,260,541,0,0,143,143,684,Temperate South America,48.1316725978648,492.868327402135,0,0.0703679423945391,0.720567730120081,0,0.20906432748538,1,0,0,1,1,3,NA,4
2007,Argentina,0,20506,0,0,321,632,953,0,0,20,20,973,Temperate South America,953,0,0,0.979445015416238,0,0,0.0205549845837616,0,1,0,0,2,1,NA,1
2008,Argentina,0,18628,20,0,0,428,448,31,0,302,333,781,Temperate South America,0,448,0,0,0.573623559539053,0,0.426376440460948,1,0,0,1,1,2,NA,2
2009,Argentina,7880,7880,35,2893,7,644,3579,0,0,0,0,3579,Temperate South America,8.53594548551959,42.679727427598,3527.78432708688,0.00238500851788756,0.0119250425894378,0.985689948892675,0,0,0,1,0,2,NA,NA,1
2010,Argentina,1574,70605,1,35,142,1041,1219,2,103,791,896,2115,Temperate South America,972.460674157303,6.84831460674157,239.691011235955,0.459792280925439,0.00323797380933408,0.113329083326693,0.423640661938534,0,1,0,1,3,NA,1,2
2011,Argentina,637,66130,0,244,865,1012,2121,0,0,45,45,2166,Temperate South America,1654.34174932372,0,466.658250676285,0.76377735425841,0,0.215447022472892,0.0207756232686981,0,1,1,0,1,NA,2,1
2012,Argentina,373,70396,0,535,248,1116,1899,52,294,794,1140,3039,Temperate South America,601.471264367816,0,1297.52873563218,0.197917494033503,0,0.426959110112598,0.375123395853899,0,0,1,1,1,NA,1,2
2013,Argentina,1168,78573,0,3142,1033,2144,6321,2,0,524,526,6847,Temperate South America,1563.47952095808,0,4755.52047904192,0.228345190734348,0,0.694540744711832,0.0768219658244487,0,1,1,0,2,NA,1,1
2014,Argentina,275,60283,0,16,1120,667,1804,133,51,362,546,2350,Temperate South America,1777.60563380282,0,25.3943661971831,0.756427929277794,0,0.0108061132753971,0.232340425531915,0,1,0,1,1,NA,1,2
2015,Argentina,427,60966,0,190,1056,755,2001,39,26,223,288,2289,Temperate South America,1695.87158908507,0,305.128410914928,0.740878806939743,0,0.13330205806681,0.125819134993447,0,1,0,0,1,NA,2,1
2016,Argentina,708,81467,0,4045,30,2172,6247,17,205,588,810,7057,Temperate South America,45.9901840490798,0,6201.00981595092,0.00651695962152186,0,0.878703388968531,0.114779651409948,0,0,1,0,1,NA,3,2
2017,Argentina,0,84441,0,8,2715,2771,5494,293,42,737,1072,6566,Temperate South America,5477.8589790672,0,16.1410209327947,0.834276420814378,0,0.00245827306317312,0.163265306122449,0,1,0,0,2,NA,1,3
2018,Argentina,0,77048,0,1569,141,1189,2899,487,109,1120,1716,4615,Temperate South America,239.040350877193,0,2659.95964912281,0.0517963923894243,0,0.576372621695083,0.371830985915493,0,0,1,1,1,NA,2,4
2019,Argentina,0,96202,0,1819,1417,2632,5868,21,80,508,609,6477,Temperate South America,2569.51668726823,0,3298.48331273177,0.396714016870192,0,0.509260971550373,0.0940250115794349,0,1,1,0,2,NA,1,1
2002,Australia,0,629,0,0,118,302,420,0,0,210,210,630,Oceania Melanesia Polynesia,420,0,0,0.666666666666667,0,0,0.333333333333333,0,1,0,1,NA,NA,NA,NA
2003,Australia,0,2203,0,0,365,348,713,0,0,4,4,717,Oceania Melanesia Polynesia,713,0,0,0.99442119944212,0,0,0.00557880055788006,0,1,0,0,1,>1,NA,1
2004,Australia,0,3094,0,0,31,117,148,0,0,75,75,223,Oceania Melanesia Polynesia,148,0,0,0.663677130044843,0,0,0.336322869955157,0,1,0,1,1,>2,NA,2
2005,Australia,0,3774,55,0,109,449,613,0,0,99,99,712,Oceania Melanesia Polynesia,407.420731707317,205.579268292683,0,0.572220128802412,0.288734927377364,0,0.139044943820225,1,1,0,0,1,>3,NA,1
2006,Australia,0,2169,6,0,16,120,142,0,0,117,117,259,Oceania Melanesia Polynesia,103.272727272727,38.7272727272727,0,0.398736398736399,0.14952614952615,0,0.451737451737452,0,1,0,1,1,1,NA,2
2007,Australia,0,8690,93,0,606,572,1271,0,0,84,84,1355,Oceania Melanesia Polynesia,1101.89699570815,169.103004291845,0,0.813208114913767,0.124799265160034,0,0.0619926199261993,0,1,0,0,1,2,NA,1
2008,Australia,0,5173,137,0,164,34,335,0,0,433,433,768,Oceania Melanesia Polynesia,182.524916943522,152.475083056478,0,0.23766265227021,0.198535264396456,0,0.563802083333333,0,1,0,1,1,3,NA,2
2009,Australia,18315,14642,70,4050,367,14,4501,0,0,5,5,4506,Oceania Melanesia Polynesia,368.145085803432,70.2184087363495,4062.63650546022,0.0817010842883782,0.0155833130795272,0.901605971029787,0.00110963160230803,0,0,1,0,1,NA,NA,1
2010,Australia,8777,8777,0,646,134,12,792,0,0,460,460,1252,Oceania Melanesia Polynesia,136.061538461538,0,655.938461538462,0.108675350208897,0,0.523912509216024,0.36741214057508,0,0,1,1,2,NA,1,2
2011,Australia,22461,22461,1,799,808,42,1650,0,0,390,390,2040,Oceania Melanesia Polynesia,829.10447761194,1.02611940298507,819.869402985075,0.406423763535265,0.000502999707345625,0.401896766169154,0.191176470588235,0,1,1,0,3,NA,1,1
2012,Australia,29072,29018,0,101,3147,85,3333,105,17,1343,1465,4798,Oceania Melanesia Polynesia,3229.35683497537,0,103.643165024631,0.673063116918585,0,0.0216013265995478,0.305335556481867,0,1,0,1,1,NA,1,2
2013,Australia,19509,19368,0,557,1045,32,1634,0,0,368,368,2002,Oceania Melanesia Polynesia,1065.87390761548,0,568.126092384519,0.532404549258482,0,0.283779266925334,0.183816183816184,0,1,1,0,1,NA,2,1
2014,Australia,20223,20151,1,1700,1124,186,3011,0,0,462,462,3473,Oceania Melanesia Polynesia,1198.00495575221,1.0658407079646,1811.92920353982,0.344948158869051,0.000306893379776735,0.52171874562045,0.133026202130723,0,1,1,0,1,NA,1,2
2015,Australia,0,21302,0,244,1533,48,1825,0,0,1800,1800,3625,Oceania Melanesia Polynesia,1574.40911648846,0,250.590883511536,0.43431975627268,0,0.0691285195893893,0.496551724137931,0,1,0,1,1,NA,1,3
2016,Australia,22321,44184,0,588,2893,2085,5566,0,0,1139,1139,6705,Oceania Melanesia Polynesia,4625.80810112037,0,940.191898879632,0.689904265640622,0,0.140222505425747,0.169873228933632,0,1,0,0,1,NA,2,1
